Rank,Word,Count,Year
1,scene,3,1934
2,palace,3,1934
3,father,3,1934
4,young,2,1934
5,symphony,2,1934
6,story,2,1934
7,shop,2,1934
8,producer,2,1934
9,night,2,1934
10,new,2,1934
11,name,2,1934
12,little,2,1934
13,king,2,1934
14,hunger,2,1934
15,hall,2,1934
16,good,2,1934
17,experience,2,1934
18,city,2,1934
19,china,2,1934
20,bus,2,1934
21,york,1,1934
22,yacht,1,1934
23,wonderland,1,1934
24,wing,1,1934
25,wilde,1,1934
26,wife,1,1934
27,wherein,1,1934
28,welter,1,1934
29,volley,1,1934
30,vodnoy,1,1934
1,waterfront,5,1954
2,love,4,1954
3,crime,4,1954
4,commission,4,1954
5,bos,4,1954
6,story,3,1954
7,murder,3,1954
8,man,3,1954
9,make,3,1954
10,longshoreman,3,1954
11,labor,3,1954
12,film,3,1954
13,cast,3,1954
14,brother,3,1954
15,union,2,1954
16,terry,2,1954
17,slick,2,1954
18,scene,2,1954
19,proper,2,1954
20,newcomer,2,1954
21,movie,2,1954
22,light,2,1954
23,leader,2,1954
24,journalism,2,1954
25,goon,2,1954
26,effective,2,1954
27,dockside,2,1954
28,director,2,1954
29,dark,2,1954
30,citizen,2,1954
1,first,6,1974
2,film,6,1974
3,movie,4,1974
4,godfather,4,1974
5,young,3,1974
6,time,3,1974
7,story,3,1974
8,role,3,1974
9,play,3,1974
10,original,3,1974
11,new,3,1974
12,family,3,1974
13,year,2,1974
14,wind,2,1974
15,vega,2,1974
16,start,2,1974
17,repeat,2,1974
18,racket,2,1974
19,powerful,2,1974
20,point,2,1974
21,old,2,1974
22,nothing,2,1974
23,narrative,2,1974
24,make,2,1974
25,mafia,2,1974
26,long,2,1974
27,interest,2,1974
28,five,2,1974
29,far,2,1974
30,effective,2,1974
1,film,14,1994
2,special,5,1994
3,time,4,1994
4,story,4,1994
5,president,4,1994
6,life,4,1994
7,viewer,3,1994
8,technical,3,1994
9,performance,3,1994
10,mention,3,1994
11,magic,3,1994
12,love,3,1994
13,house,3,1994
14,field,3,1994
15,element,3,1994
16,effect,3,1994
17,costume,3,1994
18,american,3,1994
19,wonder,2,1994
20,white,2,1994
21,visual,2,1994
22,thread,2,1994
23,successful,2,1994
24,structure,2,1994
25,string,2,1994
26,star,2,1994
27,sound,2,1994
28,song,2,1994
29,sequence,2,1994
30,screen,2,1994
1,play,9,2014
2,movie,9,2014
3,time,5,2014
4,room,5,2014
5,mean,5,2014
6,world,4,2014
7,theater,4,2014
8,story,4,2014
9,dress,4,2014
10,actor,4,2014
11,new,3,2014
12,flow,3,2014
13,writer,2,2014
14,two,2,2014
15,together,2,2014
16,title,2,2014
17,talk,2,2014
18,sound,2,2014
19,shoot,2,2014
20,shadow,2,2014
21,onstage,2,2014
22,movement,2,2014
23,melodramatic,2,2014
24,make,2,2014
25,love,2,2014
26,jam,2,2014
27,hang,2,2014
28,gram,2,2014
29,funny,2,2014
30,form,2,2014
